balaji,6754248975,balu876@gmail.com
Dinesh,7878965047,dhanireddy@gmail.com
harsha,7896547868,harshu@gmail.com
Naresh,7780103808,naresh324@gmail.com
pandu,8754398786,swaroop@gmail.com
Pavan,7543263737,pavan@gmail.com
pooji,7654896540,pooji@gmail.com
Poojitha,8965467878,reddyvaripoojitha@gmail.com
prabhas,8765678876,darling143@gmail.com
sai charan,7036380228,csai14782@gmail.com
samantha,8769876578,sam456@gmail.com
allu arjun,8877996655,allu@a.com
suhitha,8754273876,suhi23@gmail.com
Gsuhitha reddy,9856740984,gopireddy45@gmail.com
balaji,9975467856,balaji667@gmail.com
